AttackerClanName,DefenderClanName,AttackerName,DefenderName,EndTime,PreparationStartTime,StartTime,State,WarType,WarTag,LeagueId,Season,ClanNoStat,OpponentNoStat,ClanTag,OpponentTag,Id,WarId,AttackerTag,DefenderTag,Stars,StarsGained,DestructionPercentage,Order,Fresh,AttackerClanTag,DefenderClanTag,AttackerMapPosition,DefenderMapPosition,AttackerTownhall,DefenderTownhall,DownloadedAt,AttackerDiscordId,DefenderDiscordId,AttackerHidden,DefenderHidden,ManuallyEntered
神性Chronos™,EAGLE'S SHADOW,✨⚡la team R ₜₕ₁,☁✨爱Sηιρєz爱✨☁,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117669185,2538128,#9Q00PP80J,#PVYGJJ99G,2,0,79,45,False,#2L00LC0VQ,#8CQPCYP2,22,25,12,12,06/05/2022 20:32:35,664831997436231692,977829462668374046,False,False,False
神性Chronos™,EAGLE'S SHADOW,noU,Prof.Dr.Jeager,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117669184,2538128,#YGVPPVPL,#2CJR0J2YU,3,3,100,44,True,#2L00LC0VQ,#8CQPCYP2,21,19,12,12,06/05/2022 20:32:35,,372752870656966656,False,False,False
EAGLE'S SHADOW,神性Chronos™,PRATIK,✨⚡la team R⚡✨,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117666780,2538128,#2PJR0LRQJ,#JU0U0LU8,2,2,86,43,True,#8CQPCYP2,#2L00LC0VQ,15,11,13,13,06/05/2022 20:18:46,,381344923791785984,False,False,False
神性Chronos™,EAGLE'S SHADOW,noU,..MŘ §...,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117666779,2538128,#YGVPPVPL,#9QRRPJP9G,3,1,100,42,False,#2L00LC0VQ,#8CQPCYP2,21,22,12,12,06/05/2022 20:18:46,,967515714862866472,False,False,False
神性Chronos™,EAGLE'S SHADOW,Ouranos,..MŘ §...,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117666778,2538128,#9JQL8RLJ,#9QRRPJP9G,2,2,83,40,True,#2L00LC0VQ,#8CQPCYP2,20,22,12,12,06/05/2022 20:18:46,664831997436231692,967515714862866472,False,False,False
神性Chronos™,EAGLE'S SHADOW,Ouranos,☁✨爱Sηιρєz爱✨☁,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117666777,2538128,#9JQL8RLJ,#PVYGJJ99G,2,2,87,38,True,#2L00LC0VQ,#8CQPCYP2,20,25,12,12,06/05/2022 20:18:46,664831997436231692,977829462668374046,False,False,False
神性Chronos™,EAGLE'S SHADOW,✨⚡la team R⚡✨,Haru No Ame,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117666776,2538128,#JU0U0LU8,#280PVPCJ0,2,2,99,41,True,#2L00LC0VQ,#8CQPCYP2,11,12,13,13,06/05/2022 20:18:46,381344923791785984,627891302364872735,False,False,False
神性Chronos™,EAGLE'S SHADOW,⭐️⭐️⭐️,DIGVIJAYSINH,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117666775,2538128,#2CVRGYPY,#PU2GU89G2,2,2,88,39,True,#2L00LC0VQ,#8CQPCYP2,10,13,13,13,06/05/2022 20:18:46,655766562258681867,,False,False,False
神性Chronos™,EAGLE'S SHADOW,Osiris,BacchuS,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117664552,2538128,#88R2U8GUJ,#28209Y02R,3,3,100,36,True,#2L00LC0VQ,#8CQPCYP2,18,17,12,12,06/05/2022 20:06:10,664831997436231692,484085029916639242,False,False,False
神性Chronos™,EAGLE'S SHADOW,✨⚡la team R⚡✨,TimeFail_Ghost,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117664551,2538128,#JU0U0LU8,#2GLGG0V2L,2,2,84,37,True,#2L00LC0VQ,#8CQPCYP2,11,14,13,13,06/05/2022 20:06:10,381344923791785984,457216152519573506,False,False,False
EAGLE'S SHADOW,神性Chronos™,Dracule Mihawk,Osiris,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117662878,2538128,#2RQ2VYPVQ,#88R2U8GUJ,3,3,100,33,True,#8CQPCYP2,#2L00LC0VQ,24,18,12,12,06/05/2022 19:56:08,,664831997436231692,False,False,False
神性Chronos™,EAGLE'S SHADOW,埃盧安ᴳᵒᵈȺꝁᵾᴍȺ,Dracule Mihawk,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117662877,2538128,#2P2G8GLQJ,#2RQ2VYPVQ,3,3,100,35,True,#2L00LC0VQ,#8CQPCYP2,24,24,12,12,06/05/2022 19:56:08,381344923791785984,,False,False,False
神性Chronos™,EAGLE'S SHADOW,Osiris,Azmat Maseed,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117662876,2538128,#88R2U8GUJ,#Y8QQLRYVU,3,1,100,34,False,#2L00LC0VQ,#8CQPCYP2,18,23,12,12,06/05/2022 19:56:08,664831997436231692,373315623112933376,False,False,False
神性Chronos™,EAGLE'S SHADOW,埃盧安ᴳᵒᵈȺꝁᵾᴍȺ,Azmat Maseed,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117660750,2538128,#2P2G8GLQJ,#Y8QQLRYVU,2,2,78,32,True,#2L00LC0VQ,#8CQPCYP2,24,23,12,12,06/05/2022 19:42:55,381344923791785984,373315623112933376,False,False,False
神性Chronos™,EAGLE'S SHADOW,⭐️⭐️⭐️,PRATIK,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117660749,2538128,#2CVRGYPY,#2PJR0LRQJ,2,2,85,31,True,#2L00LC0VQ,#8CQPCYP2,10,15,13,13,06/05/2022 19:42:55,655766562258681867,,False,False,False
EAGLE'S SHADOW,神性Chronos™,Jurε Cα MφD?,Kaz,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117658476,2538128,#PJYY8YLPC,#22LRY99RV,3,3,100,26,True,#8CQPCYP2,#2L00LC0VQ,27,28,11,11,06/05/2022 19:29:10,379633452015943690,381344923791785984,False,False,False
EAGLE'S SHADOW,神性Chronos™,Prof.Dr.Elektro,ElChapo™ 2.0,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117658475,2538128,#9CQUCC9J9,#8PG8GJJ2U,2,2,99,25,True,#8CQPCYP2,#2L00LC0VQ,8,5,14,14,06/05/2022 19:29:10,372752870656966656,,False,False,False
